id,en
HINT_ADD_HOTKEY,Add hotkey
HINT_ALL_ASTEROIDS,Show all asteroids
HINT_APPEND_DATE_TO_SAVE,Add the simulated date to new save file names
HINT_AUTOSAVE_TIME_MIN,"Minutes between autosaves, not counting time paused.\nSet to 0 to turn autosave off"
HINT_BODY_SYMBOL_SIZE_PERCENT,"Size of body symbols in the 3D view, relative to GUI Size"
HINT_CAMERA_KEY_IN_OUT_RATE,Speed of the keys that move the camera toward or away from its target
HINT_CAMERA_KEY_MOVE_RATE,Speed of the keys that move the camera around its target
HINT_CAMERA_KEY_PITCH_YAW_RATE,Speed of the keys that turn the camera (pitch and yaw)
HINT_CAMERA_KEY_ROLL_RATE,Speed of the keys that roll the camera
HINT_CAMERA_LOCK,Camera follows selection
HINT_CAMERA_MOUSE_IN_OUT_INVERSE,Reverse the mouse wheel's zoom direction
HINT_CAMERA_MOUSE_IN_OUT_RATE,Mouse wheel speed for moving toward or away from the target
HINT_CAMERA_MOUSE_MOVE_RATE,"Speed of left-button drag, which moves the camera around its target"
HINT_CAMERA_MOUSE_PITCH_YAW_RATE,"Speed of turning the camera with the mouse:\nShift drag, or right-button drag near the window center"
HINT_CAMERA_MOUSE_ROLL_RATE,"Speed of rolling the camera with the mouse:\nAlt drag, or right-button drag near the window edge"
HINT_CAMERA_TRANSFER_TIME,Seconds the camera takes to fly to a new target or view
HINT_CENTAURS,Show Centaurs
HINT_COLOR_PICKER,Color Picker
HINT_DECREASE_FOCAL_LENGTH,Decrease camera focal length
HINT_DIRECTIONAL_SHADOW_SIZE,"Resolution of shadows cast by spacecraft and other objects\nnear the camera. Higher is sharper, but uses more video\nmemory and GPU time (8192: 256 MB, 16384: 1 GB).\nEclipse and ring shadows are not affected"
HINT_EXPOSURE_ADJUSTMENT,Adjust exposure in 1/3 stops
HINT_EXPOSURE_AUTO,Meter camera exposure automatically
HINT_EXPOSURE_MANUAL,Set camera exposure in 1/3 stops
HINT_FXAA,"Fast approximate antialiasing: a cheap screen filter that\nsmooths jagged edges but softens the whole image,\nmost noticeably at lower screen resolutions"
HINT_GUI_SIZE,Size of text and controls in GUI panels;\nalso scales names and symbols in the 3D view
HINT_HIDE_HUD_WHEN_CLOSE,"Hide a body's name, symbol and orbit when the camera is close to it"
HINT_INCREASE_FOCAL_LENGTH,Increase camera focal length
HINT_L4_TROJANS,Show Jupiter L4 (Greek Camp) Trojans
HINT_L5_TROJANS,Show Jupiter L5 (Trojan Camp) Trojans
HINT_LABEL3D_NAMES_SIZE_PERCENT,"Size of body names in the 3D view, relative to GUI Size"
HINT_LANGUAGE,Language for all text. Automatic follows your\nsystem language when a translation exists
HINT_MAIN_BELT,Show Main Belt asteroids
HINT_MARS_CROSSERS,Show Mars-crossing asteroids
HINT_MOUSE_ONLY_GUI_NAV,"If checked, arrow keys move camera only;\notherwise, arrows navigate GUI controls"
HINT_MSAA_3D,"Multisample antialiasing: smooths jagged edges on orbit lines,\nplanet limbs and spacecraft. Each step up costs more GPU time;\n4x is a good balance, and 8x is very demanding"
HINT_NAMES,Show names
HINT_NAMES_SYMBOLS_CKBXS,"Toggle to show names or symbols, or hide both"
HINT_NEAR_EARTH,Show near-Earth asteroids
HINT_ORBITS,Show orbits
HINT_ORBITS_CKBX_COLOR,Show/hide orbits and set their color
HINT_PAUSE,Pause
HINT_PAUSE_ON_LOAD,Start paused after loading a save
HINT_PHYSICAL_LIGHT,"Physically accurate light: sunlight falls off with distance\nas it really does, and the camera adjusts its exposure,\nso stars and the Milky Way fade out when a sunlit body\nis in view. Off: hand-tuned lighting with a fixed exposure"
HINT_POINTS_CKBX_COLOR,Show/hide points and set their color
HINT_RESTORE_FORWARD_TIME,Restore forward time
HINT_RESTORE_DEFAULT_HOTKEY,Restore default hotkey
HINT_RESTORE_DEFAULT_OPTION,Restore default option
HINT_RUN_TIME_BACKWARDS,Run time backwards
HINT_SAVE_BASE_NAME,Default file name for new saves
HINT_SAVE_VISIBILITIES_AND_COLORS,Save visibilities & colors
HINT_SAVE_VIEW,Save view
HINT_SCREENSHOT_ASPECT,Screenshot shape. Preserve matches the window;\nother ratios crop the view at top and bottom or at the sides
HINT_SCREENSHOT_FILE_DIALOG,"Choose a file name and folder for each screenshot.\nIf unchecked, screenshots are numbered and saved\nin the last folder used"
HINT_SCREENSHOT_WIDTH,"Screenshot width in pixels (Aspect sets the height).\nRendered at this size, so it stays sharp at any window size"
HINT_SELECTION_IMAGE,Click to center and orient
HINT_SELECTION_BACK,Select last
HINT_SELECTION_FORWARD,Select next
HINT_SELECTION_UP,Select parent object
HINT_SET_AND_CLOSE,Set and close
HINT_SHOW_NAME,Show Name
HINT_SHOW_ORBIT,Show Orbit
HINT_SHOW_SYMBOL,Show Symbol
HINT_SMALL_BODIES_POINT_SIZE,Size in pixels of small bodies (asteroids) drawn as plain points
HINT_SMALL_BODIES_SYMBOL_SIZE_PERCENT,"Size of small bodies (asteroids) drawn as shaped symbols,\nrelative to GUI Size"
HINT_SYMBOL_PICKER,Symbol Picker
HINT_SYMBOLS,Show symbols
HINT_TERRESTRIAL_TIME_CLOCK,"Show the clock and date in Terrestrial Time (TT), the uniform\ntime scale of astronomical ephemerides, instead of Universal\nTime (UT), which follows Earth's rotation. TT currently runs\nabout 69 seconds ahead of UT"
HINT_TIME_SLOW,Decrease speed
HINT_TIME_SPEED,Increase speed
HINT_TIME_REAL,Set actual time (UT)
HINT_TRACK_GROUND,Camera will maintain latitude & longitude with respect to the target object
HINT_TRACK_ORBIT,Camera will track orbit of the target object
HINT_TRACK_ECLIPTIC,Camera follows the target object but orients to the ecliptic plane
HINT_TRANS_NEPTUNE,Show trans-Neptunian asteroids
HINT_TROJANS,Show Jupiter Trojans
HINT_UNPAUSE,Unpause
HINT_UPDATE_W_CHANGES,Update with changes
HINT_UP_LOCK,"Locks camera orientation with respect to reference frame: Ecliptic, Orbit or Ground"
HINT_USE_TAA,Temporal antialiasing: reduces jagged edges and shimmer\nby blending recent frames. Experimental: orbit lines\ncan leave ghost trails
HINT_VIEW_45,View from 45\u00B0 above
HINT_VIEW_OUTWARD,Look outward from current selection
HINT_VIEW_TOP,View from top
HINT_VIEW_ZOOM,View at close range
HINT_VIS_ON_MO_CKBX,Uncheck for visibility\non mouse-over only
